,Name,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,WAR/PA
248,Jedd Gyorko,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0
249,Jeff Bailey,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
250,Jeff Baker,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0
251,Jeff Clement,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
252,Jeff Francoeur,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
253,Jeff Keppinger,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0
254,Jeff Larish,0.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0
255,Jeff Mathis,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
256,Jeff Salazar,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0
257,Jefry Marte,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
258,Jeimer Candelario,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
259,Jemile Weeks,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0
260,Jeremy Hazelbaker,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
261,Jeremy Hermida,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
262,Jeremy Reed,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0
263,Jerry Owens,1.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0
264,Jerry Sands,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
265,Jesse Winker,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0
266,Jesus Aguilar,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
267,Jesus Feliciano,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0
268,Jesus Guzman,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0
269,Jesus Montero,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0
270,Jim Adduci,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
271,Jimmy Paredes,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0
272,Joaquin Arias,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0
273,Joc Pederson,2.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0
274,Joe Borchard,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
275,Joe Dillon,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
276,Joe Inglett,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
277,Joe Thurston,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0
278,Joey Butler,1.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0
279,Joey Gallo,1.0,2.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0
280,Joey Terdoslavich,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
281,Joey Votto,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0
282,Joey Wendle,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
283,John Bowker,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0
284,Johnny Giavotella,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0
285,Jon Jay,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
286,Jon Singleton,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
287,Jonathan Herrera,1.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0
288,Jordan Brown,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0
289,Jordan Danks,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
290,Jordan Pacheco,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0
291,Jorge Bonifacio,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
292,Jose Constanza,1.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0
